Start,End
westchamparan,eastchamparan
eastchamparan,gopalganj
eastchamparan,sheohar
eastchamparan,muzaffarpur
eastchamparan,sitamarhi
sheohar,sitamarhi
sheohar,muzaffarpur
sitamarhi,madhubani
sitamarhi,muzaffarpur
muzaffarpur,dharbhanga
muzaffarpur,gopalganj
muzaffarpur,siwan
muzaffarpur,saran
muzaffarpur,vishali
muzaffarpur,samastipur
madhubani,supaul
madhubani,darbhanga
madhubani,saharsa
supaul,areria
supaul,madhepura
araria,kishanganj
araria,purnia
araria,madhepura
gopalganj,siwan
gopalganj,saran
siwan,saran
darbhanga,medhepura
darbhanga,samastipur
darbhanga,saharsa
medhepura,purnia
purnia,kishanganj
purnia,katihar
siwan,saran
saran,vaishali
saran,bhojpur
vaishali,samastipur
vaishali,patna
samastipur,saharsa
samastipur,khagaria
samastipur,begusarai
samastipur,nalanda
saharsa,purnia
saharsa,khagaria
buxar,bhojpur
buxar,kaimur
buxar,rohtas
buxar,arwar
bhojpur,patna
bhojpur,arwal
bhojpur,jehanabad
bhojpur,aurangabad
patna,nalanda
patna,jehanabad
patna,lakhisarai
nalanda,seikhpura
nalanda,lakhisarai
seikhpura,bhagalpur
seikhpura,jamui
seikhpura,banka
