Start,End
malkangiri,koraput
koraput,rayagada
koraput,nabarangpur
rayagada,kalahandi
rayagada,gajapati
rayagada,kandhamal
nabarangpur,kalahandi
kalahandi,bolangir
kalahandi,kandhamal
gajapati,ganjam
kandhamal,nayagarh
kandhamal,baudh
baudh,subhanapur
baudh,angul
nayagarh,khorda
khorda,puri
chord,cuttack
jagatsinghpur,kendrapara
dhenkanal,kendujhar
baleswar,mayurbhanj
debagarh,sundargarh
bolangir,barhgarh
bolangir,baud
sambalpur,debagarh
sambalpur,angul
sambalpur,bargarh
kendujhar,debagarh
kendujhar,mayurbhanj
kendujhar,sundargarh
kendujhar,baleswar
