Start,End
Tirap,Changlang
Changlang,Lohit
Lohit,Anjaw
Lohit,LowerDibangvalley
LowerDibangvalley,Dibangvalley
LowerDibangvalley,Eastsiang
LowerDibangvalley,Uppersiang
Dibangvalley,Uppersiang
Dibangvalley,LowerDibangvalley
Uppersiang,Eastsiang
Uppersiang,Westsiang
Westsiang,Eastsiang
Westsiang,Uppersubansiri
Westsiang,Lowersubansari
Uppersubansiri,Lowersubansari
Uppersubansiri,Kurungkumey
Kurungkumey,Eastkameng
Kurungkumey,PapumPare
Kurungkumey,Lowersubansari
Lowersubansari,PapumPare
PapumPare,Eastkameng
Eastkameng,WestKameng
WestKameng,Tawan
