Start,End
Bidar,Gulbarga
Gulbarga,Bijapur
Gulbarga,Yadgir
Bijapur,Bagalkot
Bijapur,Belagavi
Bijapur,Raichur
Bijapur,Yadgir
Belagavi,UttaraKannada
Belagavi,Dharwad
Belagavi,Bagalkot
Belagavi,Gadag
Bagalkot,Dharwad
Bagalkot,Gadag
Bagalkot,Koppal
Bagalkot,Raichur
Yadgir,Raichur
UttaraKannada,Dharwad
UttaraKannada,Haveri
UttaraKannada,Shimoga
UttaraKannada,Udupi
Dharwad,Gadag
Dharwad,Haveri
Gadag,Haveri
Gadag,Ballari
Gadag,Koppal
Koppal,Raichur
Koppal,Ballari
Haveri,Shimoga
Haveri,Davanagere
Haveri,Ballari
Ballari,Davanagere
Ballari,Chitradurga
Udupi,Shimoga
Udupi,Chikkamagaluru
Udupi,DakshinaKannada
Shimoga,Chikkamagaluru
Shimoga,Davanagere
Davanagere,Chikkamagaluru
Davanagere,Chitradurga
DakshinaKannada,Chikkamagaluru
DakshinaKannada,Hassan
DakshinaKannada,Kodagu
Chikkamagaluru,Chitradurga
Chikkamagaluru,Hassan
Chikkamagaluru,Tumakuru
Chitradurga,Tumakuru
Kodagu,Hassan
Kodagu,Mysuru
Hassan,Mysuru
Hassan,Mandya
Hassan,Tumakuru
Tumakuru,Mandya
Tumakuru,Ramanagara
Tumakuru,BengaluruRural
Tumakuru,Chikkaballapur
Mysuru,Mandya
Mysuru,Chamarajanagar
Mandya,Chamarajanagar
Mandya,Ramanagara
Ramanagara,Chamarajanagar
Ramanagara,BengaluruRural
Ramanagara,BengaluruUrban
BengaluruRural,BengaluruUrban
BengaluruRural,Kolar
BengaluruRural,Chikkaballapur
BengaluruUrban,Chikkaballapur
BengaluruUrban,Kolar
Kolar,Chikkaballapur
Chikkaballapur,Ramanagara
