Start,End
East_Jaintia_Hills,West_Jaintia_Hills
West_Jaintia_Hills,East_Khasi_Hills
West_Jaintia_Hills,Ri-Bhoi
East_Khasi_Hills,Ri-Bhoi
East_Khasi_Hills,West_Khasi_Hills
East_Khasi_Hills,South_West_Khasi_Hills
West_Khasi_Hills,Ri-Bhoi
West_Khasi_Hills,South_West_Khasi_Hills
West_Khasi_Hills,South_Garo_Hills
West_Khasi_Hills,East_Garo_Hills
West_Khasi_Hills,North_Garo_Hills
South_West_Khasi_Hills,South_Garo_Hills
North_Garo_Hills,East_Garo_Hills
North_Garo_Hills,West_Garo_Hills
East_Garo_Hills,West_Garo_Hills
East_Garo_Hills,South_Garo_Hills
South_West_Garo_Hills,West_Garo_Hills
West_Garo_Hills,South_West_Garo_Hills
