Start,End
Adilabad,Nirmal
Adilabad,KumuramBheem
Nirmal,Nizamabad
Nirmal,Jagtial
Nirmal,Mancherial
Mancherial,KumuramBheem
Mancherial,Peddapalli
Mancherial,JayashankarBhupalpally
Nizamabad,Jagtial
Nizamabad,RajannaSircilla
Nizamabad,Kamareddy
Kamareddy,RajannaSircilla
Kamareddy,Medak
Kamareddy,Sangareddy
Jagtial,RajannaSircilla
Jagtial,Peddapalli
Jagtial,Karimnagar
RajannaSircilla,Siddipet
RajannaSircilla,Karimnagar
Karimnagar,Siddipet
Karimnagar,Warangal(Urban)
Karimnagar,Peddapalli
Karimnagar,JayashankarBhupalpally
Peddapalli,JayashankarBhupalpally
JayashankarBhupalpally,Warangal(Rural)
JayashankarBhupalpally,Mulugu
Sangareddy,Medak
Sangareddy,Vikarabad
Sangareddy,Rangareddy
Sangareddy,Medchal
Medak,Siddipet
Medak,Medchal
Siddipet,Medchal
Siddipet,YadadriBhuvanagiri
Siddipet,Jangaon
Siddipet,Warangal(Urban)
Warangal(Urban),Jangaon
Warangal(Urban),Warangal(Rural)
Warangal(Rural),Jangaon
Warangal(Rural),Mahabubabad
Warangal(Rural),Mulugu
Mulugu,Mahabubabad
Mulugu,BhadradriKothagudem
Medchal,Rangareddy
Medchal,YadadriBhuvanagiri
YadadriBhuvanagiri,Rangareddy
YadadriBhuvanagiri,Nalgonda
YadadriBhuvanagiri,Suryapet
YadadriBhuvanagiri,Jangaon
Jangaon,Suryapet
Jangaon,Mahabubabad
Mahabubabad,Suryapet
Mahabubabad,Khammam
Mahabubabad,BhadradriKothagudem
BhadradriKothagudem,Khammam
Vikarabad,Rangareddy
Vikarabad,Mahabubnagar
Vikarabad,Narayanpet
Rangareddy,Mahabubnagar
Rangareddy,Nagarkurnool
Rangareddy,Nalgonda
Nalgonda,Suryapet
Nalgonda,Nagarkurnool
Suryapet,Khammam
Narayanpet,Mahabubnagar
Narayanpet,Wanaparthy
Narayanpet,JogulambaGadwal
Mahabubnagar,Wanaparthy
Mahabubnagar,Nagarkurnool
JogulambaGadwal,Wanaparthy
Wanaparthy,Nagarkurnool
